"YKL105C_dma2844" "YJL012C_dma2460" "YMR020W_dma3647" "YOL150C_dma4408" "YDR502C_dma5259" "YBL010C_dma88" "YJL060W_dma2477" "YMR326C_dma3914" "YIL035C_dma2280" "YDR169C_dma955" "YBR170C_dma336" "YFL007W_dma5286" "YFL006W_dma1487" "YPL239W_dma4962" "YGL085W_dma1667" "YOR105W_dma4532" "YDL033C_dma630" "YBR044C_dma206" "YCR063W_dma586" "YHR049W_dma2118" "YKL148C_dma2862" "YLL041C_dma3054" "YOL071W_dma4366" "YPL262W_dma5014" "YDR178W_dma951" "YDL124W_dma699" "YBR230C_dma401" "YOL055C_dma4334" "YER132C_dma1423" "YDL114W_dma706" "YCL013W_dma475" "YDR516C_dma1233" "YOR092W_dma4517" "YOL126C_dma4395" "YCL028W_dma501" "YER072W_dma1375" "YDR475C_dma1192" "YER042W_dma1337" "YHR016C_dma2098" "YKL151C_dma2859" "YKL149C_dma2861" "YOL064C_dma4348" "YJL121C_dma2516" "YJL120W_dma5179" "YLR089C_dma3191" "YHR139C-A_dma2176" "YGR212W_dma1978" "YOL086C_dma5363" "YOL087C_dma4380" "YCL025C_dma469" "YIR023W_dma2435" "YBR289W_dma449" "YHL025W_dma2060" "YJL175W_dma2564" "YDR463W_dma1199" "YBR068C_dma231" "YHR006W_dma2080" "YFL049W_dma1504" "YDR073W_dma888" "YDR128W_dma915" "YBL104C_dma173" "YKL176C_dma2888" "YML121W_dma3622" "YKR007W_dma2921" "YBR076W_dma247" "YDR508C_dma1216" "YDR509W_dma1215" "YMR304W_dma3909" "YLR436C_dma3485" "YDL172C_dma735" "YDL173W_dma734" "YHR178W_dma2213" "YGL023C_dma1597" "YJR066W_dma5319" "YJR139C_dma2730" "YDR157W_dma939" "YER052C_dma1350" "YDR158W_dma938" "YOR184W_dma4596" "YGR208W_dma1958" "YHR009C_dma2079" "YCL062W_dma521" "YCL063W_dma520" "YJL057C_dma2480" "YOR333C_dma5347" "YOR334W_dma4739" "YPL060W_dma4801" "YKL106W_dma2843" "YLR374C_dma3419" "YLR373C_dma3420" "YGR071C_dma1840" "YMR085W_dma3674" "YGL202W_dma1739" "YIL012W_dma2251" "YKR099W_dma3018" "YDL106C_dma688" "YDL181W_dma749" "YDL182W_dma748" "YDL183C_dma747" "YBR291C_dma447" "YDL131W_dma715" "YOL067C_dma4346" "YGL252C_dma1770" "YOL027C_dma4299" "YNL037C_dma3972" "YOR135C_dma4556" "YOR136W_dma4555" "YNL063W_dma3980" "YNR055C_dma4270" "YGL059W_dma1621" "YOR276W_dma4676" "YOR277C_dma4675" "YOR197W_dma4631" "YKL171W_dma2891" "YGL051W_dma1627" "YGR268C_dma2011" "YOR255W_dma4666" "YMR247C_dma3860" "YDL175C_dma755" "YPR157W_dma5144" "YOL107W_dma4388" "YPL200W_dma4941" "YBR040W_dma210" "YLL019C_dma3044" "YLL020C_dma3043" "YDR436W_dma1167" "YMR265C_dma3868" "YLR020C_dma3111" "YNR047W_dma4252" "YHR132W-A_dma2161" "YLR219W_dma3286" "YOL136C_dma4413" "YNL156C_dma4052" "YPL187W_dma4928" "YPL208W_dma4934" "YLR450W_dma3497" "YML075C_dma3580" "YGR282C_dma2005" "YML017W_dma3519" "YJR131W_dma2735" "YJR150C_dma2745" "YIL037C_dma2278" "YOR029W_dma4463" "YNL045W_dma3967" "YOL114C_dma4404" "YGL199C_dma1718" "YOL109W_dma4386" "YNL104C_dma4015" "YMR104C_dma3707" "YJR116W_dma2702" "YHR195W_dma2225" "YHR176W_dma2214" "YKL005C_dma2740" "YDR476C_dma1191" "YJR125C_dma2718" "YGR256W_dma1994" "YNL115C_dma4010" "YFL033C_dma5267" "YJL162C_dma2550" "YKR102W_dma3015" "YKL221W_dma2926" "YLR118C_dma3216" "YPL245W_dma4958" "YBR149W_dma305" "YBR186W_dma345" "YBR008C_dma189" "YCR106W_dma623" "YHR143W_dma2173" "YDR479C_dma1190" "YLR324W_dma3368" "YIL114C_dma2361" "YLR012C_dma3119" "YMR302C_dma3889" "YLL051C_dma3091" "YIR035C_dma2447" "YJR010W_dma2607" "YJR096W_dma2669" "YJL161W_dma2551" "YHR153C_dma2191" "YIL113W_dma2362" "YMR095C_dma3691" "YMR096W_dma3690" "YBR218C_dma367" "YOR316C_dma4725" "YJL065C_dma2474" "YJL064W_dma2475" "YOR304W_dma4700" "YGL133W_dma1691" "YOR097C_dma4514" "YPR063C_dma5074" "YKL174C_dma2890" "YOL155C_dma4427" "YOL159C_dma4425" "YNL134C_dma4042" "YOL158C_dma4426" "YMR145C_dma3756" "YKL178C_dma2886" "YHR103W_dma2139" "YKL163W_dma2874" "YDL168W_dma739"
"YLL026W_sn4163" 0.24385 -0.9339 0.99465 -0.5849 0.97455 0.212 -0.7576 -0.13545 -0.48815 0.41075 -0.76165 -0.61535 0.4661 -0.80715 -0.02645 0.01535 0.43085 0.7932 -0.5479 -0.923 0.6032 0.48675 0.8885 -0.5065 0.8772 0.4775 0.93705 0.65785 0.5371 -0.70515 -0.2706 -0.61255 0.85835 -0.6071 0.4437 -0.4061 -0.87285 -0.6456 0.1693 0.0943500000000002 -0.1054 0.4481 0.40295 0.9121 -0.179 -0.20105 -0.88555 0.6441 0.12625 -0.08795 -0.359 -0.0666 0.5399 -0.0671999999999999 -0.2952 0.43165 0.83105 0.2407 0.85045 0.6072 -0.864 -0.6436 -0.5975 0.4895 0.9528 0.0602 0.80375 0.1009 0.2491 -0.9489 -0.68755 0.896 -0.9899 -0.0249999999999999 0.09205 -0.81155 -0.9009 0.49485 0.32595 0.9261 -0.1285 -0.89395 0.5118 -0.0625 0.1775 0.0705 0.80655 -0.98535 0.9003 0.9892 0.4941 -0.8032 -0.9372 -0.92805 -0.8157 -0.9944 0.7654 0.7705 0.60945 -0.3953 -0.8444 -0.4218 -0.5987 -0.21925 -0.3478 -0.8285 -0.0447 0.5744 -0.8437 0.1123 0.3516 0.5397 -0.4884 0.2123 -0.6073 0.91415 -0.1773 0.9931 0.0524500000000001 0.0115000000000001 0.59475 0.84745 -0.89855 -0.5387 0.26185 0.32095 0.7046 -0.449 0.32775 -0.0989 -0.0177999999999999 -0.91885 0.78775 0.15125 0.73615 0.6068 0.84055 0.8124 -0.81045 -0.191 -0.67305 0.95655 -0.90235 -0.7403 -0.621 -0.14325 -0.4678 -0.84845 0.47025 0.79165 0.5434 -0.93285 -0.9259 -0.13945 -0.2298 0.0241500000000001 0.09175 -0.00964999999999994 -0.44045 0.35065 0.1281 0.9539 -0.58625 0.93705 -0.0128499999999999 -0.8645 0.18045 0.77175 -0.8862 0.94195 -0.5648 0.27555 0.24675 0.55155 0.9201 -0.94475 0.7572 -0.2222 0.6948 -0.13195 -0.28745 -0.70985 0.2811 0.35595 0.55445 0.1046 0.2585 -0.47015 -0.18615 0.79645 0.99475 0.5793 0.21775 0.09145 -0.42665 -0.03455 -0.3377 0.34435 -0.76995 0.32475
"YHR103W+YDL227C" 0.39785 0.1782 0.7522 0.6183 -0.4362 0.06515 -0.92 0.36015 -0.6327 0.3947 0.9919 -0.21565 -0.0673499999999999 -0.80275 -0.38445 0.88445 0.74925 -0.20985 -0.6099 -0.9755 0.72425 0.71925 -0.6257 0.8068 0.66975 0.38575 0.34995 0.0987500000000001 -0.6665 0.2857 -0.998 0.3427 0.20025 -0.9435 -0.36745 -0.67605 0.6259 -0.29565 0.8846 -0.76765 0.0615000000000001 0.36055 -0.19245 0.75685 -0.35125 -0.0470499999999999 -0.57995 -0.4883 0.6554 0.6521 -0.33825 0.3299 -0.17355 0.16935 -0.55635 -0.60945 0.58985 0.3758 0.95955 -0.66975 -0.3426 0.9061 0.000950000000000006 -0.3325 -0.6007 0.4672 -0.5352 0.89715 -0.32425 -0.90675 0.5211 0.6282 0.3779 -0.0783499999999999 0.9707 -0.41855 0.72105 -0.61995 -0.41805 0.8753 -0.1668 -0.7837 -0.9631 0.7261 0.04125 -0.342 -0.0631499999999999 -0.72 0.0464 -0.13505 -0.3031 -0.452 0.1302 -0.9454 -0.2723 -0.84225 -0.36105 0.29885 0.3915 -0.3652 -0.59505 -0.0902499999999999 0.47865 0.0230000000000001 0.2996 0.6765 -0.6468 -0.2255 -0.23845 -0.93025 -0.6484 0.391 0.4289 0.7667 -0.00374999999999992 -0.24155 0.9995 0.18715 -0.49005 0.8452 0.75355 0.63665 0.2076 -0.8372 0.8671 0.7797 -0.65435 0.42125 -0.3533 -0.53135 -0.1526 0.13045 -0.0246499999999999 0.64205 0.90465 0.398 0.2252 -0.4722 -0.8152 -0.58115 0.526 -0.268 0.95415 0.038 0.40575 0.4336 -0.86355 -0.10335 0.0231000000000001 -0.30305 -0.30615 0.9971 0.58895 0.61395 -0.4428 0.0797000000000001 0.16565 -0.71305 -0.4643 -0.0205 -0.64865 0.5053 -0.5106 0.645 -0.01855 -0.1035 -0.72015 0.91945 -0.83535 0.7354 0.94115 0.38995 -0.61955 0.46105 0.17975 0.62035 0.00409999999999999 -0.3103 0.0114000000000001 -0.85625 -0.1166 -0.30665 -0.19645 0.0298500000000002 0.709 0.2732 0.8301 -0.3738 -0.1968 -0.9042 -0.6127 -0.55685 0.86895 0.16595 -0.82795 0.3902 0.0148000000000001 0.0438499999999999 0.911 -0.3318
"YDL137W_sn207" 0.13675 -0.53865 0.1349 0.8584 -0.539 -0.12845 0.9524 0.0179 0.3643 -0.81375 -0.93235 -0.57585 0.63715 -0.6499 0.70415 -0.78675 0.30345 0.69465 -0.1889 0.8511 0.1733 -0.8269 0.50125 -0.7482 0.56835 0.443 -0.49155 -0.8021 -0.2729 0.6933 -0.0977 0.301 0.7823 -0.89875 -0.47935 -0.4039 0.03715 -0.01515 -0.6241 -0.1356 0.1478 -0.1555 0.75975 -0.0672499999999999 0.88075 0.2688 0.36135 0.35155 -0.2607 -0.47885 0.05785 -0.07685 -0.1463 0.664 -0.49865 -0.9132 -0.1623 -0.7638 0.55985 -0.89035 0.5116 0.7927 0.3354 -0.4094 0.66975 0.12625 0.4229 0.4089 -0.89865 -0.92655 0.25455 -0.85985 0.19055 0.77865 0.0416000000000001 -0.00609999999999999 0.34365 0.26595 -0.10085 0.15955 -0.9941 0.6328 -0.11075 -0.25525 0.48785 0.3534 0.69805 0.76375 -0.67275 0.5902 0.53585 -0.7052 -0.5347 0.60355 0.1662 -0.2112 0.54675 -0.00869999999999993 -0.35415 0.9671 -0.7975 0.82685 -0.53635 0.71385 -0.78225 0.3147 -0.1009 0.3695 0.4136 -0.917 -0.5838 -0.4785 -0.8612 0.6592 0.9658 0.2232 -0.46365 -0.2678 -0.9643 -0.67465 -0.8162 0.91005 -0.0338999999999999 -0.41395 -0.4818 0.595 0.281 0.993 -0.38825 -0.64045 0.0442 0.61315 -0.5207 0.2596 0.52955 0.2335 -0.50425 -0.9725 -0.7044 -0.86805 0.4499 0.43445 0.3435 -0.322 -0.22665 -0.54945 0.23785 0.1144 0.52075 0.41935 0.56855 -0.3762 0.19335 -0.41945 -0.3302 0.0968 0.4297 0.54695 -0.20905 -0.1728 -0.3494 0.33435 0.63465 0.00695000000000001 0.7143 -0.12865 -0.2853 0.5857 0.1458 -0.48895 -0.3646 0.9579 0.2857 0.26965 0.3089 0.8946 0.5997 -0.74255 -0.40605 0.7422 -0.92255 -0.38915 -0.18935 0.304 0.0497000000000001 -0.3267 -0.07095 -0.5383 -0.93 0.7482 0.05585 -0.0154 -0.0807 0.82765 -0.0308499999999999 -0.0541999999999999 0.90195 -0.63685 0.49185 -0.68425
"YKL057C_sn1862" -0.63455 0.2071 -0.53205 -0.587 -0.86805 -0.6607 0.0364 0.598 -0.71885 -0.6781 -0.7299 0.75185 -0.0743499999999999 0.2282 -0.55485 -0.9392 0.57575 -0.78875 0.8211 0.69795 0.931 0.8549 0.81515 0.59675 0.3927 0.49875 0.5656 -0.557 0.8475 0.2309 -0.3068 -0.73525 -0.8041 0.68535 0.5329 -0.90885 0.0605 -0.4064 0.59775 0.3309 0.0809 -0.40225 0.0485500000000001 -0.0742999999999999 -0.6484 -0.83425 -0.9319 0.0350000000000001 0.655 0.9674 0.46845 0.2276 -0.4453 -0.5593 -0.418 -0.47845 -0.0601999999999999 0.7299 -0.80215 0.98615 -0.68225 0.23845 -0.65275 -0.5599 0.36945 -0.61925 -0.88965 0.4237 0.20715 0.2758 0.4354 0.42795 -0.1025 0.6577 -0.2263 0.92575 -0.5757 0.8611 0.84995 -0.48335 -0.29455 0.575 -0.80045 0.20635 0.74855 0.4501 -0.3904 0.67165 -0.0448499999999999 -0.3414 0.0668500000000001 0.954 -0.3757 0.2925 0.19675 -0.1075 0.39065 -0.3644 0.000600000000000156 0.5326 0.14825 0.8695 0.0790500000000001 0.9873 0.3625 -0.55585 0.6339 -0.7411 0.74165 -0.27175 0.33605 -0.90365 0.4612 -0.4163 -0.9465 0.80475 0.15935 -0.47345 0.9462 -0.76145 0.6935 0.5027 -0.4652 -0.25545 0.21695 -0.50125 -0.8748 -0.68705 -0.62695 0.65485 -0.5936 0.2238 0.3425 0.5664 0.2175 -0.7563 0.11805 -0.54685 0.385 -0.4603 -0.38605 -0.41735 -0.6923 0.7191 0.4505 0.65115 -0.9458 0.48635 0.88505 -0.2339 0.64935 0.9977 -0.78175 0.4084 0.98915 0.55055 0.35295 -0.00124999999999997 0.32935 -0.86935 0.3703 -0.9183 0.51225 0.89985 0.30845 0.09005 0.53075 0.55105 -0.8275 0.4188 -0.81955 0.21655 -0.7569 0.7477 -0.22985 0.51625 0.1215 -0.6805 -0.9367 0.31995 0.39025 0.2098 -0.67435 -0.59535 0.0548500000000001 -0.00929999999999997 -0.70505 -0.4355 -0.82295 -0.23915 -0.0107999999999999 -0.1139 0.0685500000000001 0.6825 0.73445 -0.26235 0.23155 -0.273 -0.2958 0.53565
"YKL056C_sn1136" 0.45755 -0.26985 0.2971 -0.90095 -0.6654 0.92395 0.712 0.0698000000000001 -0.50415 0.4701 -0.53615 0.96305 0.9154 0.46885 -0.0973999999999999 -0.58265 -0.85635 0.0576000000000001 -0.0225 0.43335 -0.8268 -0.1394 0.7069 -0.8058 0.83695 -0.21165 -0.7551 -0.10575 0.33555 0.3161 0.2739 0.4715 -0.24615 0.30375 -0.7135 -0.4423 -0.09995 0.52485 0.53445 -0.5027 -0.25765 0.85645 -0.59005 0.80035 0.9161 0.25925 0.6779 -0.0434 -0.7714 0.6463 0.30005 0.1531 -0.0431499999999999 0.4183 0.38205 -0.2308 -0.0669999999999999 0.4784 0.43105 -0.79 0.9892 -0.73035 -0.52605 0.7731 -0.51285 0.1369 0.37825 -0.3355 0.80285 -0.6473 0.6622 -0.71425 0.6058 -0.46765 -0.7999 -0.25925 0.1163 0.942 0.39125 -0.57405 0.4664 -0.9874 -0.5953 -0.0852499999999999 -0.2195 0.25565 0.14605 0.3448 0.32795 -0.62835 -0.57885 0.5745 -0.7571 -0.92035 0.8418 -0.49845 0.5321 0.53125 -0.8502 0.24705 0.9847 0.62155 0.2295 0.22305 0.1896 0.8308 0.8635 -0.93255 0.3997 -0.8338 -0.97115 -0.7776 0.5414 0.9407 -0.4308 0.39185 -0.3409 -0.74 0.5394 0.6061 0.444 -0.66475 -0.39115 0.848 0.846 -0.7004 -0.7647 0.229 -0.81525 0.5174 -0.31965 0.8609 0.45345 0.09195 0.309 -0.6509 -0.17505 0.85355 -0.3676 -0.8462 -0.2927 0.46225 -0.71885 0.5776 0.15255 0.3997 0.08575 0.57795 -0.00889999999999991 -0.5562 -0.38925 -0.699 0.56205 -0.895 0.8577 0.3903 0.4199 0.1195 0.00334999999999996 0.00795000000000012 0.6291 0.7337 0.79255 -0.97375 0.1469 -0.53165 -0.5685 0.0895000000000001 0.71765 0.4778 -0.93925 -0.71185 -0.9221 -0.80515 0.0198500000000001 -0.0155999999999999 -0.60855 -0.8102 -0.3879 -0.46285 0.4793 -0.22295 -0.4444 0.48495 0.6764 -0.255 -0.9816 0.1666 -0.9912 -0.0611999999999999 -0.74595 0.6198 -0.4993 0.0921000000000001 0.00470000000000015 0.92575 0.08985 -0.94225 0.43635 -0.7039
"YKR094C_sn4131" 0.06565 -0.35955 -0.78025 0.88685 -0.02335 0.22575 -0.8802 -0.0710999999999999 0.8299 -0.2697 -0.32035 0.5115 -0.88415 -0.25005 0.158 0.7122 0.60975 -0.5746 -0.15485 -0.6856 -0.50635 -0.43505 0.92885 -0.0205 0.4599 -0.9349 0.0747500000000001 -0.20705 0.8376 0.9923 0.15685 0.7723 -0.40125 0.22385 0.4601 0.396 -0.85645 0.7716 -0.3328 0.7392 0.79875 0.9977 -0.26505 0.8558 -0.15905 -0.32105 0.78425 -0.7068 0.1053 0.1901 -0.14215 0.70765 -0.72325 -0.12085 -0.92345 0.3365 0.19685 0.2225 -0.05385 0.3626 0.79995 -0.6646 0.5484 -0.7773 -0.99565 -0.06675 -0.5754 -0.36575 0.9044 0.272 -0.5178 0.44555 -0.305 0.7506 0.3001 -0.10515 0.36405 -0.88735 0.49605 0.85875 -0.87755 -0.3889 0.00465000000000004 -0.18405 -0.57575 0.0286500000000001 -0.3409 0.88135 -0.7777 0.77115 0.00239999999999996 0.0367999999999999 0.48745 -0.3635 -0.32005 -0.97465 -0.80055 0.57545 -0.43845 -0.916 0.97625 0.2557 0.4594 0.36325 0.47445 0.38985 -0.5353 -0.60365 -0.82645 -0.2279 -0.5323 -0.14505 0.21235 -0.12245 0.17925 -0.6752 -0.3159 0.5751 -0.8902 0.4643 -0.81795 0.87935 -0.8821 -0.17835 -0.6442 0.07145 -0.61105 -0.43855 0.82995 0.51675 -0.19755 0.5405 0.49245 0.0822000000000001 -0.6967 -0.94925 -0.26675 -0.38975 0.197 0.96855 0.71605 -0.4659 -0.8547 -0.27275 -0.8744 0.22365 -0.70705 -0.82485 -0.39855 -0.2781 -0.0893999999999999 -0.06595 0.17915 -0.23855 0.57485 0.942 0.965 0.2598 -0.62655 -0.78795 0.6468 0.78215 0.9825 -0.9274 0.13685 -0.93095 -0.8052 0.29185 0.87715 -0.82875 -0.2403 -0.0574 0.3997 0.83705 0.0219 0.23725 -0.0953499999999999 0.9187 -0.84025 -0.32585 0.45415 0.72615 0.365 -0.29155 0.517 0.64365 -0.70265 0.3933 -0.17485 0.37685 0.7132 0.3297 0.4706 -0.77335 -0.1393 0.325 -0.1028 -0.0606 0.00710000000000011 0.3833
"YKL184W_sn4414" -0.0490999999999999 -0.0782999999999999 -0.90475 0.70655 0.6107 -0.77765 -0.7081 0.70205 0.3932 0.28785 0.81035 0.2915 0.50595 0.0402500000000001 0.586 -0.456 -0.12095 0.40995 -0.9698 0.2195 -0.3266 0.1464 0.4407 -0.7758 -0.57145 -0.46145 0.2131 0.000499999999999945 0.21035 -0.411 0.7614 0.40125 -0.8617 0.82895 0.5662 0.97825 0.41365 0.0351000000000001 0.8433 -0.9304 0.6027 -0.2676 -0.0683999999999999 0.19545 -0.46135 -0.24725 -0.21425 -0.23255 -0.3109 0.12835 0.5313 -0.12035 0.14315 -0.30035 0.8049 -0.63175 -0.38905 -0.2145 -0.09215 0.84155 0.49855 -0.7474 -0.70935 0.77185 0.5022 -0.6803 0.25615 0.0372000000000001 0.6552 -0.4565 0.43045 0.129 0.47395 -0.3129 -0.4403 -0.26 -0.61405 0.0396000000000001 -0.476 0.8982 0.28795 -0.6501 0.7235 0.04775 0.98145 -0.07475 -0.34865 0.1134 -0.2644 0.40985 -0.516 0.58505 -0.67905 -0.10155 -0.8296 -0.9944 0.81015 -0.0314 -0.6199 -0.21115 -0.0663999999999999 0.0468500000000001 -0.7835 0.34875 0.1028 0.2681 0.0578000000000001 0.38745 -0.1925 -0.4319 0.4179 0.01285 -0.94865 0.74615 0.8456 0.132 0.31075 -0.61005 0.4556 0.14725 -0.2588 -0.23525 0.6941 0.5829 0.17085 0.5433 -0.46935 0.4279 -0.50535 0.5639 0.6346 0.5701 0.93465 0.0138 -0.8354 -0.87525 0.55325 -0.7036 0.84725 0.24335 -0.8527 -0.75745 -0.71695 0.10265 -0.55005 -0.8391 0.3058 0.46845 -0.0583499999999999 -0.758 -0.6433 0.23105 -0.83415 0.4212 0.79355 -0.8188 -0.0122 0.2335 -0.16385 0.73725 0.0432000000000001 -0.24115 0.90885 -0.3518 -0.086 -0.96075 0.73205 0.2087 -0.6371 -0.30935 0.2175 0.82255 -0.9348 -0.31345 -0.09215 0.1768 -0.21645 0.98835 0.7531 0.6503 0.7496 0.8119 -0.45445 -0.8189 -0.80335 -0.62245 0.79415 -0.99 -0.80785 -0.991 -0.0705 -0.4273 0.35195 0.01145 0.44905 -0.6485 -0.3884 0.4564 -0.0137999999999999 -0.1532
"YKL032C_sn800" 0.53765 -0.75325 0.09765 -0.86805 -0.59695 0.1826 0.86565 0.2597 0.35035 -0.074 -0.37475 -0.5595 -0.52685 -0.43775 0.59525 0.6761 0.2489 -0.99105 -0.695 -0.4705 0.2213 0.55805 -0.8044 -0.73105 -0.877 -0.3461 0.08555 0.5435 0.06945 -0.6263 0.17365 0.3617 -0.37555 0.2234 0.9819 -0.28615 -0.1401 -0.4155 0.2104 0.24795 -0.9062 0.61495 0.631 0.19825 -0.0855499999999999 -0.4788 -0.13605 0.00639999999999996 0.71445 -0.0514 -0.0536 0.92975 -0.84085 -0.47315 -0.7803 0.87295 -0.7823 -0.61665 0.9811 0.87665 -0.8069 -0.26905 -0.9094 0.61355 -0.4499 -0.4246 0.07785 -0.53635 0.687 0.5032 -0.10565 -0.31635 -0.3632 -0.4511 0.55515 0.92285 -0.3918 0.1731 -0.80195 -0.99215 0.7359 0.26805 -0.82585 -0.6058 0.8345 0.30935 -0.1561 -0.318 -0.4442 -0.3317 0.4281 0.1873 -0.1059 -0.3736 -0.0347499999999999 -0.74295 0.8898 -0.1132 -0.0169499999999999 0.3911 -0.2471 -0.0504 -0.15955 0.36765 -0.37705 0.16595 0.12195 0.35675 -0.8237 0.454 -0.64455 0.61555 0.63075 -0.1762 -0.0720499999999999 -0.979 -0.20025 0.62665 -0.2713 0.37725 0.204 0.0314000000000001 -0.481 0.0729 -0.47035 -0.63495 0.29285 -0.0764999999999999 0.12165 -0.91835 0.8068 -0.9663 -0.3893 0.56705 0.2828 0.47195 0.81665 0.9566 -0.7059 0.3691 -0.27815 0.7716 0.8474 0.51565 0.0184500000000001 -0.71135 -0.35705 -0.4722 0.40305 -0.6951 -0.0992 0.78955 0.21435 -0.62175 0.8818 0.9639 -0.55895 0.4189 0.2595 0.14705 -0.7714 0.0708 -0.2901 -0.62335 -0.1458 -0.135 0.8687 0.9652 -0.533 0.9589 -0.7441 -0.48545 0.3019 -0.6626 0.95215 -0.5593 -0.5058 0.98775 0.69125 -0.1307 0.5243 -0.59955 0.6544 0.4429 -0.3313 0.965 0.85455 0.0958000000000001 0.46345 0.4142 0.74045 0.7182 0.2855 -0.10665 -0.13165 -0.28005 0.3273 -0.20615 0.2423 -0.335
"YHR194W_sn2677" 0.2686 -0.89675 -0.1953 0.373 0.0519000000000001 -0.45905 0.7909 -0.2033 0.83735 0.2165 -0.38095 0.25475 -0.69195 0.4792 -0.57225 0.5735 -0.40565 -0.98305 -0.2249 0.6415 -0.7905 0.54685 -0.9784 0.4697 0.0814000000000001 -0.20455 -0.6205 0.4894 0.41575 -0.62895 0.88795 -0.1292 -0.3747 0.0471000000000001 0.64795 0.9318 0.62325 0.38785 0.17355 0.7552 0.93375 -0.74175 -0.24185 0.12685 -0.82905 0.16255 -0.4636 0.2232 -0.70805 0.14255 -0.0354 0.6314 -0.69465 0.31085 -0.2219 -0.4612 0.9871 -0.90355 0.4117 0.7939 -0.7356 0.16715 0.65945 -0.8706 0.96935 -0.64625 -0.28075 0.89895 0.9816 0.719 0.4381 0.1041 0.99145 -0.45275 0.32555 0.34795 -0.1273 -0.7258 0.72925 -0.64855 -0.4023 0.1895 0.8187 0.9898 0.30185 -0.41715 -0.2218 0.78495 0.32645 0.7977 -0.5992 -0.9392 0.9343 0.14465 0.8056 -0.32895 -0.14525 0.79025 -0.89085 0.099 0.3227 -0.28095 0.94775 0.79245 -0.73615 0.69745 -0.2407 0.0442 0.86565 0.6086 0.88115 -0.6236 0.985 0.02115 -0.99485 -0.37235 -0.111 -0.8021 0.44335 0.48925 0.84155 -0.2082 0.0522 -0.21145 0.34065 -0.31815 -0.42565 -0.7616 -0.19245 -0.3593 -0.92635 -0.61225 0.408 -0.8996 0.8131 -0.479 0.79315 -0.3728 -0.587 -0.5689 0.00320000000000009 0.62615 0.4078 0.3319 -0.2119 0.6169 -0.873 0.61585 0.92915 0.3657 -0.0853499999999999 0.4098 -0.27825 0.0274000000000001 -0.24245 0.42945 0.3664 0.94275 -0.50765 0.41205 -0.28395 -0.092 0.3656 -0.3858 0.4985 -0.1413 -0.56565 -0.259 -0.54875 -0.49215 0.4298 -0.55965 -0.23445 0.41645 -0.44225 -0.95735 -0.81165 0.1312 0.40655 -0.13245 0.4393 -0.44895 0.22675 -0.3168 -0.50825 0.17125 -0.5291 0.776 -0.7609 -0.9734 0.01305 0.5099 0.99585 -0.41675 0.3187 0.8881 -0.90125 -0.80715 -0.79215 0.19375
"YKR024C_sn1681" -0.89695 0.58885 -0.507 -0.45385 0.2303 0.41595 0.27695 -0.34595 0.9473 0.7133 0.1376 -0.15165 0.32035 -0.38805 -0.00205 0.1988 0.03 -0.7593 0.12305 0.8569 0.9788 0.6754 0.3916 0.63885 0.1149 -0.64235 0.4422 0.014 -0.0561499999999999 0.1049 0.95285 0.7691 -0.08155 0.1409 0.89285 0.69785 0.5723 -0.80035 -0.67325 -0.0730499999999999 -0.1656 -0.5623 -0.1548 -0.05245 -0.4646 0.84935 -0.5355 0.3624 0.19045 -0.5299 0.68535 -0.3418 -0.65765 0.154 0.6527 0.48345 0.1667 -0.10685 -0.83955 0.7703 0.38985 0.5614 -0.69195 0.95595 -0.3122 -0.22595 0.0533000000000001 -0.1979 -0.87775 0.48585 0.69465 -0.56365 0.97235 -0.7558 -0.961 0.0500500000000001 0.9506 -0.70035 -0.6538 0.4119 0.9298 0.2907 -0.8721 0.53945 -0.3194 -0.54025 -0.18225 0.27465 0.86445 0.50355 -0.4838 0.65665 0.0676000000000001 -0.9911 -0.00679999999999992 0.30135 0.6888 0.14855 0.56805 -0.8811 -0.2598 0.70035 0.64835 -0.0832499999999999 0.3471 -0.38255 -0.98145 0.7926 0.41395 -0.05065 0.11725 0.10545 0.38585 -0.61985 -0.33285 -0.58785 -0.15395 -0.9932 0.47975 -0.31355 -0.63525 -0.32915 0.4425 0.23845 -0.18835 -0.1486 -0.7098 0.76475 -0.7837 0.39135 0.0953000000000002 0.3065 0.54015 -0.3968 0.53185 -0.63515 0.395 -0.4392 0.7571 0.24975 -0.1965 -0.06365 -0.76525 0.761 0.5542 -0.7984 -0.93995 0.33635 0.2368 -0.8765 -0.1976 -0.80725 0.57505 -0.9435 -0.01145 0.7472 0.61445 0.46705 0.70035 0.9581 -0.85935 -0.0983499999999999 0.8272 0.318 0.18475 0.2724 -0.76455 -0.47925 0.72655 0.24065 0.1464 0.1828 0.3478 -0.6876 -0.6376 -0.68835 -0.20435 0.89015 -0.61145 -0.4242 -0.21335 0.17085 -0.139 -0.20235 -0.4485 0.1105 -0.3604 0.1584 0.46845 0.6909 0.24475 0.12495 0.34245 -0.16485 0.7334 -0.8383 0.96465 0.01335 0.2309 0.144
