"YKL105C_dma2844" "YJL012C_dma2460" "YMR020W_dma3647" "YOL150C_dma4408" "YDR502C_dma5259" "YBL010C_dma88" "YJL060W_dma2477" "YMR326C_dma3914" "YIL035C_dma2280" "YDR169C_dma955" "YBR170C_dma336" "YFL007W_dma5286" "YFL006W_dma1487" "YPL239W_dma4962" "YGL085W_dma1667" "YOR105W_dma4532" "YDL033C_dma630" "YBR044C_dma206" "YCR063W_dma586" "YHR049W_dma2118" "YKL148C_dma2862" "YLL041C_dma3054" "YOL071W_dma4366" "YPL262W_dma5014" "YDR178W_dma951" "YDL124W_dma699" "YBR230C_dma401" "YOL055C_dma4334" "YER132C_dma1423" "YDL114W_dma706" "YCL013W_dma475" "YDR516C_dma1233" "YOR092W_dma4517" "YOL126C_dma4395" "YCL028W_dma501" "YER072W_dma1375" "YDR475C_dma1192" "YER042W_dma1337" "YHR016C_dma2098" "YKL151C_dma2859" "YKL149C_dma2861" "YOL064C_dma4348" "YJL121C_dma2516" "YJL120W_dma5179" "YLR089C_dma3191" "YHR139C-A_dma2176" "YGR212W_dma1978" "YOL086C_dma5363" "YOL087C_dma4380" "YCL025C_dma469" "YIR023W_dma2435" "YBR289W_dma449" "YHL025W_dma2060" "YJL175W_dma2564" "YDR463W_dma1199" "YBR068C_dma231" "YHR006W_dma2080" "YFL049W_dma1504" "YDR073W_dma888" "YDR128W_dma915" "YBL104C_dma173" "YKL176C_dma2888" "YML121W_dma3622" "YKR007W_dma2921" "YBR076W_dma247" "YDR508C_dma1216" "YDR509W_dma1215" "YMR304W_dma3909" "YLR436C_dma3485" "YDL172C_dma735" "YDL173W_dma734" "YHR178W_dma2213" "YGL023C_dma1597" "YJR066W_dma5319" "YJR139C_dma2730" "YDR157W_dma939" "YER052C_dma1350" "YDR158W_dma938" "YOR184W_dma4596" "YGR208W_dma1958" "YHR009C_dma2079" "YCL062W_dma521" "YCL063W_dma520" "YJL057C_dma2480" "YOR333C_dma5347" "YOR334W_dma4739" "YPL060W_dma4801" "YKL106W_dma2843" "YLR374C_dma3419" "YLR373C_dma3420" "YGR071C_dma1840" "YMR085W_dma3674" "YGL202W_dma1739" "YIL012W_dma2251" "YKR099W_dma3018" "YDL106C_dma688" "YDL181W_dma749" "YDL182W_dma748" "YDL183C_dma747" "YBR291C_dma447" "YDL131W_dma715" "YOL067C_dma4346" "YGL252C_dma1770" "YOL027C_dma4299" "YNL037C_dma3972" "YOR135C_dma4556" "YOR136W_dma4555" "YNL063W_dma3980" "YNR055C_dma4270" "YGL059W_dma1621" "YOR276W_dma4676" "YOR277C_dma4675" "YOR197W_dma4631" "YKL171W_dma2891" "YGL051W_dma1627" "YGR268C_dma2011" "YOR255W_dma4666" "YMR247C_dma3860" "YDL175C_dma755" "YPR157W_dma5144" "YOL107W_dma4388" "YPL200W_dma4941" "YBR040W_dma210" "YLL019C_dma3044" "YLL020C_dma3043" "YDR436W_dma1167" "YMR265C_dma3868" "YLR020C_dma3111" "YNR047W_dma4252" "YHR132W-A_dma2161" "YLR219W_dma3286" "YOL136C_dma4413" "YNL156C_dma4052" "YPL187W_dma4928" "YPL208W_dma4934" "YLR450W_dma3497" "YML075C_dma3580" "YGR282C_dma2005" "YML017W_dma3519" "YJR131W_dma2735" "YJR150C_dma2745" "YIL037C_dma2278" "YOR029W_dma4463" "YNL045W_dma3967" "YOL114C_dma4404" "YGL199C_dma1718" "YOL109W_dma4386" "YNL104C_dma4015" "YMR104C_dma3707" "YJR116W_dma2702" "YHR195W_dma2225" "YHR176W_dma2214" "YKL005C_dma2740" "YDR476C_dma1191" "YJR125C_dma2718" "YGR256W_dma1994" "YNL115C_dma4010" "YFL033C_dma5267" "YJL162C_dma2550" "YKR102W_dma3015" "YKL221W_dma2926" "YLR118C_dma3216" "YPL245W_dma4958" "YBR149W_dma305" "YBR186W_dma345" "YBR008C_dma189" "YCR106W_dma623" "YHR143W_dma2173" "YDR479C_dma1190" "YLR324W_dma3368" "YIL114C_dma2361" "YLR012C_dma3119" "YMR302C_dma3889" "YLL051C_dma3091" "YIR035C_dma2447" "YJR010W_dma2607" "YJR096W_dma2669" "YJL161W_dma2551" "YHR153C_dma2191" "YIL113W_dma2362" "YMR095C_dma3691" "YMR096W_dma3690" "YBR218C_dma367" "YOR316C_dma4725" "YJL065C_dma2474" "YJL064W_dma2475" "YOR304W_dma4700" "YGL133W_dma1691" "YOR097C_dma4514" "YPR063C_dma5074" "YKL174C_dma2890" "YOL155C_dma4427" "YOL159C_dma4425" "YNL134C_dma4042" "YOL158C_dma4426" "YMR145C_dma3756" "YKL178C_dma2886" "YHR103W_dma2139" "YKL163W_dma2874" "YDL168W_dma739"
"YLL026W_sn4163" -0.55025 0.43525 -0.29415 0.61645 -0.37795 0.53015 -0.8543 -0.1215 0.0989 0.0781499999999999 -0.2419 -0.6076 -0.6081 0.42435 0.95295 0.0709500000000001 -0.1313 -0.59315 0.0436000000000001 -0.9439 0.32075 0.7611 -0.49535 -0.68595 0.6108 0.8364 0.8692 -0.4211 0.15895 0.0363 -0.6441 0.5411 -0.8024 0.8478 -0.46315 -0.1792 -0.09005 0.66335 -0.15655 0.22105 0.41345 0.99525 0.66675 -0.1763 -0.9379 0.4523 -0.2908 0.22275 0.0305500000000001 -0.50665 -0.73985 -0.1863 0.95465 -0.56205 -0.9146 0.6869 -0.7954 -0.62625 -0.5765 0.72475 0.0220500000000001 -0.8331 0.674 0.48225 -0.2869 0.265 0.1052 -0.71155 0.0876000000000001 -0.4227 -0.7111 0.7283 0.7784 -0.82885 -0.61625 -0.74445 0.0451000000000001 0.12625 -0.16095 0.3237 0.5601 -0.13955 0.6756 0.8753 -0.53375 -0.3296 0.73435 0.7404 -0.1696 -0.7365 -0.14895 -0.5318 0.65825 0.3537 -0.9591 0.54595 0.57215 0.40235 0.95965 0.08155 -0.53955 -0.12855 -0.28645 0.9873 -0.61065 0.55615 -0.2744 0.25555 -0.30315 0.4755 -0.90455 0.88695 -0.93955 -0.90535 -0.9688 -0.96945 0.00645000000000007 0.5853 0.3888 -0.1313 -0.7186 0.04495 0.67495 -0.54915 -0.4318 -0.4902 0.6761 -0.59935 0.2657 -0.26595 -0.82285 0.43215 0.6209 -0.6913 0.5138 -0.0933499999999999 -0.6891 0.47925 -0.6476 -0.16255 -0.99535 0.46975 -0.13135 0.32525 0.5208 -0.32465 -0.44055 0.2743 0.3325 0.26785 0.364 -0.99445 0.54105 0.2125 -0.6637 -0.7525 -0.8098 -0.7048 0.8987 0.8788 -0.82825 0.79115 -0.5963 0.67235 -0.0039499999999999 -0.4762 0.67935 -0.7216 -0.2341 -0.9614 -0.0982 -0.8141 0.44115 -0.4817 0.7488 -0.8978 0.47165 -0.75915 0.5197 0.3735 -0.34905 -0.1762 -0.9095 0.75375 -0.29845 -0.3723 -0.0716 -0.48145 -0.7336 -0.4706 0.383 -0.7396 -0.1747 -0.5921 0.59855 -0.3169 0.404 0.73735 0.775 -0.0831499999999999
"YHR103W+YDL227C" 0.4347 -0.80155 0.1598 0.6064 0.64755 0.88865 0.8911 -0.6473 0.91075 -0.2394 0.44575 0.6094 0.6799 0.34305 -0.82945 -0.9449 0.42195 0.42785 0.946 0.6142 -0.0675 0.0403 0.3357 -0.33285 0.55745 -0.1383 0.48 0.5907 -0.2673 -0.7425 0.2587 -0.1741 0.44005 -0.86785 -0.0427 0.6596 -0.7741 0.97275 0.88585 0.53195 -0.9343 -0.2692 -0.6653 -0.7662 0.6092 -0.4546 0.8839 0.38555 0.5957 0.1842 -0.85245 0.2405 -0.95535 0.2925 -0.12045 -0.49075 -0.75845 -0.571 0.6613 0.91385 0.3406 -0.23495 -0.91325 -0.44995 -0.0277999999999999 0.59155 0.54855 -0.3404 0.40725 0.96655 -0.40115 -0.68935 -0.54855 0.28875 0.252 -0.90785 0.42655 -0.9243 0.50405 0.12145 -0.07375 0.2922 -0.89205 0.1583 0.0324 -0.4539 0.4214 0.99995 0.5173 0.1245 0.6003 0.36355 -0.4658 -0.37395 -0.789 -0.9173 0.5465 -0.73835 -0.7742 -0.7436 -0.02765 0.2634 -0.1394 -0.2169 -0.1355 0.26995 0.0494000000000001 0.37495 0.49835 -0.1809 -0.5049 -0.3208 -0.68675 -0.0841499999999999 -0.86235 0.48285 -0.6655 -0.5519 -0.55605 0.44365 0.8065 0.7891 0.69875 -0.38465 0.2487 -0.1161 -0.00259999999999994 0.2703 -0.0735 -0.0123 -0.78615 0.33725 -0.8789 0.0363500000000001 -0.1687 0.12035 -0.82575 -0.23675 0.67645 0.10175 0.2353 0.55295 -0.86575 0.1619 -0.27605 -0.0410499999999999 0.1624 -0.76375 0.6528 -0.3533 -0.0550999999999999 -0.74585 -0.77175 0.8848 -0.25365 -0.1853 -0.8078 -0.6191 -0.50605 -0.97575 -0.0919 0.73215 -0.63505 -0.99825 0.8537 0.2313 0.8835 -0.65315 0.0547 -0.14895 -0.59485 -0.8827 0.75 -0.9155 0.408 0.52305 -0.32775 -0.8649 -0.8582 0.6032 -0.2053 -0.40305 0.46 0.9687 0.89675 -0.73575 0.2663 -0.13175 0.198 -0.59525 0.8423 0.326 0.78515 -0.9868 0.66825 -0.31795 -0.4302 -0.6346 0.0146500000000001 -0.0135
"YDL137W_sn207" -0.8907 -0.2464 0.0228000000000002 0.6489 -0.70315 -0.527 0.70265 0.2595 -0.93355 0.2888 0.3222 0.26925 0.64485 -0.4356 -0.9654 -0.10465 0.78295 0.2425 -0.97265 -0.04655 -0.9315 -0.90485 -0.92995 0.05785 0.3818 -0.0632499999999999 -0.19405 0.96655 0.39845 0.2666 0.3737 -0.9397 -0.6006 0.7979 -0.5801 0.86245 -0.6333 -0.4467 0.138 0.26255 0.0526 0.15195 -0.66245 0.8168 -0.31665 0.3898 -0.3501 -0.49915 0.42275 0.58695 -0.162 0.5006 -0.02655 -0.32895 -0.2603 -0.616 0.2711 0.8388 0.8189 -0.37475 0.2463 -0.1253 0.42835 0.0791500000000001 0.297 -0.5431 0.31255 0.7253 0.4892 0.83785 -0.4753 -0.34705 -0.8346 -0.4936 -0.00834999999999997 0.1888 -0.2838 0.53345 -0.17985 0.2853 0.00960000000000005 -0.71065 -0.11395 0.0617000000000001 -0.36125 0.679 0.9213 -0.8508 0.6332 0.1328 0.9831 0.7172 0.9657 0.58525 -0.48415 -0.64705 -0.1693 -0.137 -0.1078 0.92295 0.43035 0.57985 -0.41365 -0.22475 -0.10285 0.7795 0.5452 -0.15415 0.6397 0.5613 0.19095 0.2002 -0.4311 -0.7097 -0.99205 0.03755 0.64385 -0.0818 -0.72405 0.396 0.4442 -0.46225 0.86775 0.5908 0.8176 0.9637 0.51435 -0.18495 -0.19415 -0.8499 -0.9582 0.7795 -0.4819 -0.32385 -0.64685 0.7163 -0.5134 -0.94255 0.68945 0.3469 0.51085 0.9939 0.6807 0.7351 0.66475 0.1233 -0.24225 0.0994000000000002 -0.3364 -0.55795 -0.18485 -0.9056 -0.28965 -0.14155 -0.8593 0.86645 0.9294 -0.6259 0.4796 0.95035 -0.6947 -0.95055 0.0243 -0.35455 0.3432 -0.03765 0.81895 -0.93605 -0.80885 -0.86775 -0.1384 0.8753 -0.9622 0.73635 0.7474 0.2567 0.7331 0.20915 -0.75015 0.9181 0.88965 -0.06775 -0.20095 -0.4811 -0.59145 -0.82435 0.2079 -0.30045 0.1772 0.81415 0.85885 -0.14565 0.6096 0.57745 -0.0299999999999999 -0.79085 0.1701 -0.1868 -0.12895 -0.93005
"YKL057C_sn1862" -0.4243 -0.53435 0.8762 -0.5939 0.83045 -0.3931 0.8185 0.32525 -0.2399 0.6805 -0.48965 0.4109 -0.5726 -0.75615 0.6304 0.22035 -0.61 0.87915 0.25535 -0.9719 0.2197 -0.6979 0.4462 0.98085 0.49095 0.09015 -0.83785 -0.5467 -0.2119 -0.97475 0.4105 0.74855 -0.763 -0.10675 -0.7539 -0.01625 0.43235 -0.7139 -0.1723 0.23955 0.0883500000000002 -0.7584 0.52225 -0.2109 -0.30675 -0.5958 -0.2847 0.8726 0.62955 -0.85065 -0.9408 -0.9669 0.87845 -0.63205 -0.0790999999999999 0.9113 0.38605 0.9145 0.10895 0.41375 0.8956 0.3046 0.91855 -0.12065 -0.11415 -0.85435 0.69155 -0.1857 -0.947 0.1305 0.55045 -0.6109 0.77945 0.3953 -0.61195 0.36245 0.15475 0.0134000000000001 0.80155 0.3979 0.21125 0.67075 -0.41735 -0.3143 -0.3028 -0.23635 -0.56445 -0.3287 -0.89075 -0.9023 0.76055 -0.96625 -0.94575 -0.7436 0.4424 0.78515 -0.43275 -0.34355 -0.0126499999999999 0.0822500000000002 0.11375 0.83115 -0.7052 0.133 0.36685 0.9733 0.3494 -0.4361 0.27435 0.61105 0.73355 0.2354 0.195 0.9087 0.40655 -0.4504 0.71385 -0.9036 0.7455 -0.235 -0.59185 -0.3968 -0.68925 0.3663 -0.94875 0.18955 -0.65965 -0.0540499999999999 0.1509 -0.36565 0.3932 -0.93815 -0.6412 0.13245 0.64085 0.04945 -0.0736 0.6133 -0.19365 -0.0462499999999999 -0.7893 -0.7658 -0.6331 0.57185 -0.59785 0.52495 -0.9608 0.9644 0.77645 0.76405 -0.81705 -0.4637 -0.85605 -0.97815 -0.63635 -0.39925 -0.0705 -0.90695 0.24155 0.81395 0.35775 -0.644 -0.8253 0.26825 -0.18715 -0.1846 -0.78935 0.423 0.23925 -0.5277 -0.2416 0.33335 -0.126 0.98795 -0.97405 0.40715 -0.4953 -0.66225 0.01755 -0.91665 -0.42715 -0.6063 -0.56865 -0.7077 0.8423 0.3344 -0.20245 -0.2562 0.63705 -0.8262 0.00744999999999996 0.34065 0.98245 0.55555 -0.62145 0.88175 0.19875 0.66295 -0.39075 -0.2334
"YKL056C_sn1136" -0.56805 0.0987 -0.798 0.30335 0.13935 0.6772 -0.86955 0.26585 0.73785 -0.3897 -0.1453 -0.74605 -0.24745 -0.965 -0.30135 0.44235 0.36635 -0.15745 -0.3463 -0.9716 -0.8058 0.10165 -0.23565 0.28555 -0.336 0.0126500000000001 -0.09795 -0.6919 -0.7529 0.70125 -0.62485 0.53805 0.7742 0.69775 0.3351 0.15665 0.87925 -0.1346 0.57975 0.71895 -0.4551 -0.33015 -0.13595 0.522 -0.8964 0.3021 0.74325 0.85115 0.4504 -0.6237 0.7374 0.44565 -0.98195 -0.7806 -0.56925 0.35575 -0.58055 -0.01625 0.2088 -0.36885 -0.30525 0.9827 -0.6894 0.38335 -0.38555 -0.0552999999999999 -0.00379999999999991 0.4685 -0.8505 0.5937 -0.33965 -0.76205 -0.62415 -0.26745 -0.78225 0.8584 0.0873000000000002 -0.58955 -0.4442 0.06555 -0.8418 0.35 0.90285 -0.33135 -0.38495 0.57795 -0.6984 0.55315 -0.7686 -0.50665 -0.54035 -0.80405 0.0772000000000002 -0.52815 0.43695 -0.0911 0.5609 0.448 -0.47745 -0.958 -0.46635 0.58365 -0.8857 -0.31495 -0.54975 0.05175 -0.22185 0.1079 -0.60485 -0.66195 -0.26705 -0.05155 0.6819 0.0312000000000001 -0.55405 -0.0127499999999999 -0.41145 -0.6616 -0.218 0.901 -0.75755 -0.2531 0.1822 0.313 0.4003 -0.1566 0.5788 -0.32585 -0.70545 0.0717000000000001 -0.12905 0.73065 -0.82115 -0.76 -0.22755 -0.36015 0.33005 -0.77415 0.7849 0.7061 0.7523 0.53155 -0.23625 -0.47015 0.8653 0.52855 0.09965 -0.7256 0.3113 0.8975 0.1592 0.273 0.67465 0.85875 -0.5183 0.75905 0.3736 0.94125 0.1523 0.3811 0.493 -0.3486 -0.2975 -0.5394 -0.41715 0.81365 0.03685 0.58415 0.9566 0.1387 -0.4011 0.71575 -0.4247 0.8276 0.57505 0.74735 -0.23155 -0.62715 -0.9779 -0.5137 0.3239 -0.31675 -0.44155 -0.28145 0.18695 0.4551 -0.0859 0.16535 0.49185 -0.70465 0.8129 0.2975 0.52305 0.46145 -0.4996 -0.48945 0.09195 0.0713000000000001 0.65295 0.688
"YKR094C_sn4131" -0.06755 0.78765 -0.444 0.9601 -0.0671499999999999 -0.8728 0.3506 -0.0136499999999999 0.4926 0.848 0.521 -0.00119999999999998 -0.71885 -0.26415 -0.4878 0.0123500000000001 -0.5886 -0.31595 -0.10295 -0.3098 -0.31175 0.9458 0.7293 0.0262500000000001 0.45155 -0.9196 0.80345 -0.03135 0.24765 0.83015 -0.41105 -0.0448499999999999 0.1514 0.20475 0.13385 0.6094 -0.85375 -0.90775 -0.65015 -0.28835 0.3965 -0.31615 -0.6961 0.0185500000000001 -0.27815 0.7891 -0.15035 0.37775 -0.61335 -0.4521 0.5341 -0.7599 0.07355 -0.88395 0.26025 -0.58815 -0.18345 -0.5585 -0.429 0.5291 0.4729 -0.89375 0.0771500000000001 0.7083 -0.94565 0.98915 -0.2903 0.22815 -0.42275 -0.4539 0.661 0.0258500000000002 0.0801499999999999 0.79565 0.99655 -0.2643 -0.83265 -0.24525 -0.60745 -0.36555 -0.25075 -0.0331499999999999 -0.64045 0.99775 -0.4262 0.56525 0.3641 -0.64225 0.80825 0.41775 -0.621 0.83965 0.4598 -0.55835 0.64835 -0.1026 -0.8809 0.4043 -0.10625 0.9034 0.43705 0.1955 0.5856 -0.04755 0.3182 -0.41005 -0.59715 0.41575 -0.9665 0.47315 -0.2656 0.6525 0.8067 0.81135 -0.82045 -0.1417 -0.20575 -0.0039499999999999 0.00944999999999996 0.8916 0.342 0.6846 -0.379 -0.2733 -0.2218 0.74705 -0.2272 -0.727 -0.1338 0.0339500000000001 0.8325 -0.7471 -0.43935 -0.13985 0.45345 -0.22205 -0.4629 0.9537 0.41205 0.8139 0.04745 0.88905 0.097 -0.64745 0.43825 0.0751500000000001 -0.0905999999999999 0.2333 0.6559 0.0797000000000001 0.5728 0.81755 0.6373 -0.8791 -0.1395 0.6841 0.7991 -0.26405 0.6508 0.7045 0.5687 0.5704 -0.14595 -0.3511 -0.17925 0.8209 0.27555 -0.5411 0.54435 -0.88485 0.5155 -0.8985 -0.50425 0.11635 -0.7906 0.5963 -0.8078 0.3355 0.95445 -0.7331 0.34445 -0.48905 -0.68795 0.02085 -0.8501 -0.4937 -0.4365 0.36735 0.5585 -0.14295 -0.3088 0.186 0.2357 0.68645 0.7177 0.10625 0.90115 -0.93645 0.60935 0.6247
"YKL184W_sn4414" -0.6201 -0.9018 0.1479 -0.4571 -0.27005 -0.8393 0.14165 0.7926 0.8555 0.56205 0.04535 0.0442 0.1874 0.95005 -0.33655 -0.75155 0.797 -0.1638 0.19465 0.3238 -0.2333 -0.76725 0.3346 0.8321 -0.61595 0.06335 -0.536 -0.5864 0.9856 0.2449 0.99585 -0.6758 -0.84385 0.5986 0.74475 -0.58255 -0.3502 -0.3508 0.46735 -0.909 0.41905 -0.99715 0.89325 0.2838 -0.7743 -0.83015 0.1377 0.4222 0.84995 0.59785 0.9939 -0.57265 -0.001 0.29675 -0.03065 0.4111 0.63735 0.114 -0.65845 -0.74075 -0.72445 0.49855 0.3432 0.96195 0.5223 0.33285 -0.6199 -0.33455 0.16855 0.25855 0.791 0.5211 0.4097 -0.11715 -0.1217 -0.4335 0.8534 -0.922 -0.6915 -0.23925 -0.24935 0.82955 -0.45185 0.2287 -0.97405 -0.34485 0.7398 0.73135 -0.3692 0.8497 -0.0219499999999999 -0.36895 -0.88785 -0.3198 -0.8771 0.86685 0.74055 0.87835 -0.82675 0.93995 -0.9265 -0.9347 0.6737 0.5127 -0.2437 -0.13825 0.0917000000000001 0.05 0.7448 -0.2411 0.01335 0.9063 -0.62925 -0.12255 -0.13865 -0.78305 -0.21 0.22605 0.25225 0.8884 0.7302 -0.5474 0.88595 -0.1371 0.7801 0.2202 -0.39625 0.643 -0.6527 0.89065 0.8384 0.54035 0.23915 0.79855 -0.1436 -0.91745 0.4531 0.0161 -0.39955 -0.1404 -0.3694 0.55965 0.11005 -0.60255 -0.35775 -0.1061 0.9843 0.2038 -0.62715 0.3454 -0.2544 0.6274 0.6913 -0.85565 -0.78465 -0.29185 0.2752 0.46125 0.539 0.39965 -0.6797 -0.9634 -0.9189 -0.90005 0.1597 -0.1856 -0.30815 0.56145 0.72555 -0.0145 0.91535 0.3648 -0.3702 -0.38215 0.19805 -0.59665 -0.0348499999999999 0.3032 -0.3025 -0.22505 0.924 -0.94065 -0.22845 -0.6179 -0.4166 -0.23595 0.73705 -0.55465 0.8169 0.9964 -0.43205 -0.41675 -0.25285 -0.80115 -0.99625 0.69185 0.0357499999999999 -0.26615 0.81465 -0.6387
"YKL032C_sn800" -0.56525 0.23265 0.9717 -0.3548 0.5456 0.66545 -0.0319999999999999 -0.8404 0.108 -0.37475 0.0105500000000001 0.7543 0.20215 -0.53 0.98085 -0.49385 0.75005 0.71735 0.5376 0.4372 0.7507 -0.0774499999999999 0.1667 -0.12475 -0.0620499999999999 0.88565 -0.20635 -0.3001 -0.24285 0.6563 0.0863500000000001 0.5702 -0.1751 -0.15985 -0.5263 -0.50875 -0.47615 0.78205 -0.59425 0.84845 0.0688500000000001 0.8727 -0.56265 0.0855000000000001 -0.20105 -0.80515 -0.17285 -0.49845 0.0254000000000001 -0.7355 -0.3673 -0.63405 -0.5364 0.80395 0.80905 -0.5761 -0.95525 0.1746 -0.48495 0.80735 -0.6661 0.4943 -0.6797 0.4403 -0.91355 0.1498 -0.0739 0.84265 -0.70375 0.876 0.639 -0.5279 0.32795 0.42135 0.88425 0.9547 0.43745 0.83065 -0.439 0.3418 -0.11415 0.6788 -0.85225 0.3258 0.33875 0.0627 -0.34835 0.9063 -0.1502 0.438 -0.53115 0.4496 -0.36425 0.2004 -0.8954 -0.4026 -0.5758 0.60685 -0.23555 -0.278 -0.7264 0.3566 0.6007 -0.47575 -0.89835 -0.8656 0.5918 0.4234 -0.05485 -0.7492 0.0199500000000001 0.8177 -0.7233 -0.47105 -0.3511 0.6266 -0.2603 0.7719 0.8649 -0.1834 0.1774 -0.7719 -0.50795 0 0.3965 0.0994000000000002 0.5996 -0.19525 0.86565 0.68975 0.2275 0.25775 -0.72535 0.28155 -0.4689 0.3263 -0.54675 -0.91295 0.2214 -0.89085 -0.35605 0.229 0.0494000000000001 0.3495 -0.34915 0.0193000000000001 0.8665 -0.25895 -0.26025 -0.93295 -0.94355 0.4179 0.50995 0.7508 0.4803 0.96965 -0.15315 -0.34895 0.0899000000000001 -0.12935 -0.99365 0.65825 0.66655 0.8551 -0.90165 0.10065 -0.2015 0.45175 0.4225 -0.87265 -0.4047 -0.1609 0.3792 0.66925 -0.7825 0.5286 0.98925 -0.82875 -0.5243 -0.63875 -0.9778 0.56975 0.85035 0.5414 -0.64915 -0.55495 0.71575 0.10995 0.5152 0.2889 0.666 -0.42565 -0.2041 0.02 -0.9787 0.2921 -0.3212 0.97925 0.7467 -0.51265
"YHR194W_sn2677" 0.36585 -0.6482 -0.6617 0.86465 0.49245 -0.9516 0.1989 -0.4576 0.4057 -0.3495 0.2937 0.24495 -0.90885 0.7862 -0.97795 -0.6811 -0.8529 -0.29125 -0.8023 -0.988 -0.13445 -0.2788 0.2804 0.28345 -0.1424 -0.51315 -0.15235 0.57735 0.0915000000000001 -0.9542 -0.79685 0.2084 -0.2369 0.65495 -0.30195 -0.15005 0.2764 -0.47995 -0.60535 0.5674 -0.39635 -0.05275 -0.26535 0.6167 0.54625 0.5096 -0.82835 -0.60795 0.9988 0.3416 0.49505 -0.07385 -0.34555 0.598 -0.9879 -0.14925 -0.76565 -0.0306 -0.90325 -0.21725 0.41245 -0.13415 -0.99795 -0.32635 -0.7717 0.346 0.5998 -0.51385 -0.50535 0.1852 -0.78185 -0.423 -0.67905 -0.1275 0.13825 0.77545 0.65695 -0.46115 -0.97765 -0.91755 0.77555 -0.58165 -0.6312 0.5383 -0.9004 0.1515 0.3745 0.59745 0.86375 0.7539 -0.9763 -0.20595 0.29015 0.36535 -0.18735 -0.49235 0.6866 0.24255 -0.36875 -0.0612999999999999 0.70455 0.34285 0.58465 0.6254 -0.50075 -0.46585 0.33955 -0.7011 -0.8961 -0.46805 -0.6323 -0.14135 -0.72385 0.53205 -0.89015 0.89735 -0.38645 -0.48875 -0.8491 -0.52875 -0.38055 -0.4015 0.6018 0.9039 -0.9771 -0.0209999999999999 0.91485 -0.1266 -0.28305 0.57435 -0.61115 -0.71575 0.79715 0.71545 -0.5576 -0.2712 0.1775 0.1611 -0.6544 0.649 0.56835 -0.05455 0.14975 -0.0955499999999999 0.44565 -0.3944 0.75555 -0.1934 -0.4086 0.2769 0.88685 0.42445 0.3671 -0.6758 -0.77245 0.03735 0.2357 0.35845 -0.00924999999999998 -0.95265 0.95195 -0.4173 0.44905 -0.74165 0.7285 -0.69955 0.2436 -0.0553499999999999 -0.1083 0.51225 0.9849 -0.07295 0.1169 -0.5577 -0.73185 0.20535 0.7531 -0.90805 0.96625 -0.5494 0.9547 -0.12705 -0.3254 -0.5488 0.1151 0.1016 -0.513 0.4443 0.9155 -0.54305 -0.23615 0.232 0.5939 0.8322 -0.77615 0.05735 0.79685 0.66935 -0.52725 0.8362
"YKR024C_sn1681" -0.36485 0.27715 0.8155 0.5971 -0.172 0.7772 -0.0193 0.9483 -0.1654 0.15875 -0.72245 0.69585 -0.2001 -0.58975 0.25735 -0.97995 0.37715 0.81195 0.52505 0.31425 0.4867 0.0373000000000001 0.20655 -0.0792999999999999 0.24565 -0.57175 0.1083 -0.2665 0.30815 0.7213 0.7066 -0.00705 0.3795 0.8053 -0.78815 -0.4959 0.0625500000000001 0.32335 -0.9692 -0.60015 -0.0723499999999999 0.14525 0.43745 -0.1711 0.42635 -0.4594 -0.57465 0.5843 0.3511 0.229 -0.4707 -0.40025 -0.1349 -0.9992 0.1909 -0.0772999999999999 -0.4002 0.25605 -0.61785 0.25895 -0.0629999999999999 0.77765 -0.34305 0.5205 0.7627 -0.45565 0.1705 -0.198 0.98105 -0.37575 -0.00734999999999997 0.38325 0.5791 -0.80115 -0.4143 -0.68315 -0.91905 -0.4537 0.85085 -0.11895 0.7721 0.3857 0.5282 0.2516 0.7186 -0.9074 0.34955 0.93985 0.5754 -0.6004 0.25405 -0.88995 -0.5416 0.49755 0.0869 -0.25895 0.000900000000000123 -0.546 -0.13335 0.3352 0.36835 -0.0481499999999999 0.59975 0.5012 0.592 0.75455 0.13465 -0.30925 -0.099 -0.30435 0.60935 0.8255 0.93595 0.72055 0.39585 0.1727 0.7099 -0.6494 0.32365 0.0427 0.34965 0.9128 -0.9419 -0.34515 0.88625 -0.6379 -0.40855 -0.9871 0.35545 0.57585 0.589 0.8656 -0.6985 -0.7832 0.09345 0.72365 0.21415 -0.9163 0.2427 0.93665 -0.2044 0.2888 -0.80935 0.54955 -0.254 0.19755 0.1692 0.75825 0.12075 0.9794 0.6889 -0.9018 0.64955 0.33595 0.9864 -0.52985 0.782 -0.7907 -0.14845 -0.1535 -0.0455 -0.907 -0.05275 -0.1363 0.8901 0.66945 -0.5007 0.1163 0.26555 0.80125 -0.4972 -0.58165 0.41105 -0.9792 -0.13345 0.0205500000000001 -0.9159 -0.38525 0.0837000000000001 0.47625 -0.0817 -0.2196 0.76875 0.1727 -0.7956 -0.89795 0.46275 0.1281 0.19015 -0.7413 0.25015 0.91655 0.3012 -0.24625 -0.35985 0.21075 0.5233 0.58255 0.1073 -0.30365
