Query gene	Array gene	SGA score	p-value
YML038C(YMD8)	YGL151W(NUT1)	-0.210	0.043
YML038C(YMD8)	YBL103C(RTG3)	-0.162	0.016
YML038C(YMD8)	YNL091W(NST1)	-0.157	0.019
YML038C(YMD8)	YMR304C-A()	-0.150	0.045
YML038C(YMD8)	YOR037W(CYC2)	-0.145	0.043
YML038C(YMD8)	YOR309C()	-0.134	0.015
YML038C(YMD8)	YCR034W(FEN1)	-0.118	0.009
YML038C(YMD8)	YMR311C(GLC8)	-0.105	0.005
YML038C(YMD8)	YDL074C(BRE1)	-0.096	0.046
YML038C(YMD8)	YLR294C()	-0.095	0.031
YML038C(YMD8)	YDR123C(INO2)	-0.092	0.023
YML038C(YMD8)	YKL184W(SPE1)	-0.090	0.016
YML038C(YMD8)	YJL101C(GSH1)	-0.087	0.004
YML038C(YMD8)	YKL009W(MRT4)	-0.086	0.023
YML038C(YMD8)	YLR087C(CSF1)	-0.084	0.048
YML038C(YMD8)	YOR078W(BUD21)	-0.084	0.039
YML038C(YMD8)	YNL056W(OCA2)	-0.081	0.040
YHR166C(CDC23)	YNL064C(YDJ1)	-0.558	0.042
YJL005W(CYR1)	YNL064C(YDJ1)	-0.556	0.045
YKL193C(SDS22)	YNL064C(YDJ1)	-0.542	0.012
YOR204W(DED1)	YNL064C(YDJ1)	-0.530	0.032
YGR099W(TEL2)	YNL064C(YDJ1)	-0.520	0.022
YBR160W(CDC28)	YNL064C(YDJ1)	-0.514	0.043
YDR141C(DOP1)	YNL064C(YDJ1)	-0.513	0.047
YER013W(PRP22)	YNL064C(YDJ1)	-0.508	0.029
YDR168W(CDC37)	YNL064C(YDJ1)	-0.496	0.044
YDL017W(CDC7)	YNL064C(YDJ1)	-0.485	0.035
YHR166C(CDC23)	YNL064C(YDJ1)	-0.469	0.010
YHR170W(NMD3)	YNL064C(YDJ1)	-0.440	0.048
YKL193C(SDS22)	YNL064C(YDJ1)	-0.430	0.028
YFL009W(CDC4)	YNL064C(YDJ1)	-0.420	0.034
YFL023W(BUD27)	YNL064C(YDJ1)	-0.418	0.036
YFR036W(CDC26)	YNL064C(YDJ1)	-0.413	0.047
YGR099W(TEL2)	YNL064C(YDJ1)	-0.410	0.030
YGR208W(SER2)	YNL064C(YDJ1)	-0.409	0.047
YBL084C(CDC27)	YNL064C(YDJ1)	-0.408	0.019
YNL232W(CSL4)	YNL064C(YDJ1)	-0.406	0.025
YPL161C(BEM4)	YNL064C(YDJ1)	-0.405	0.015
YER093C(TSC11)	YNL064C(YDJ1)	-0.405	0.031
YBR160W(CDC28)	YNL064C(YDJ1)	-0.402	0.029
YLR274W(MCM5)	YNL064C(YDJ1)	-0.400	0.031
YLR215C(CDC123)	YNL064C(YDJ1)	-0.394	0.017
YOR224C(RPB8)	YNL064C(YDJ1)	-0.391	0.034
YOR057W(SGT1)	YNL064C(YDJ1)	-0.389	0.037
YJL050W(MTR4)	YNL064C(YDJ1)	-0.385	0.026
YKR086W(PRP16)	YNL064C(YDJ1)	-0.384	0.025
YER093C(TSC11)	YNL064C(YDJ1)	-0.383	0.022
YDR082W(STN1)	YNL064C(YDJ1)	-0.383	0.034
YDR168W(CDC37)	YNL064C(YDJ1)	-0.382	0.033
YMR296C(LCB1)	YNL064C(YDJ1)	-0.381	0.018
YDL097C(RPN6)	YNL064C(YDJ1)	-0.379	0.029
YDR168W(CDC37)	YNL064C(YDJ1)	-0.370	0.045
YDL017W(CDC7)	YNL064C(YDJ1)	-0.369	0.048
YDR052C(DBF4)	YNL064C(YDJ1)	-0.363	0.008
YKL173W(SNU114)	YNL064C(YDJ1)	-0.359	0.044
YAL041W(CDC24)	YNL064C(YDJ1)	-0.358	0.013
YDL207W(GLE1)	YNL064C(YDJ1)	-0.352	0.015
YKL033W(TTI1)	YNL064C(YDJ1)	-0.345	0.026
YOR204W(DED1)	YNL064C(YDJ1)	-0.345	0.046
YGR185C(TYS1)	YNL064C(YDJ1)	-0.345	0.026
YLL031C(GPI13)	YNL064C(YDJ1)	-0.345	0.037
YDR527W(RBA50)	YNL064C(YDJ1)	-0.342	0.020
YKL203C(TOR2)	YNL064C(YDJ1)	-0.341	0.042
YDL108W(KIN28)	YNL064C(YDJ1)	-0.340	0.042
YMR235C(RNA1)	YNL064C(YDJ1)	-0.340	0.050
YDL105W(NSE4)	YNL064C(YDJ1)	-0.335	0.036
YDR082W(STN1)	YNL064C(YDJ1)	-0.335	0.037
YBR154C(RPB5)	YNL064C(YDJ1)	-0.328	0.016
YBR160W(CDC28)	YNL064C(YDJ1)	-0.325	0.033
YGR195W(SKI6)	YNL064C(YDJ1)	-0.322	0.024
YFR050C(PRE4)	YNL064C(YDJ1)	-0.322	0.023
YIL047C(SYG1)	YNL064C(YDJ1)	-0.321	0.033
YLR430W(SEN1)	YNL064C(YDJ1)	-0.321	0.025
YJR006W(POL31)	YNL064C(YDJ1)	-0.320	0.023
YBR234C(ARC40)	YNL064C(YDJ1)	-0.320	0.024
YOR204W(DED1)	YNL064C(YDJ1)	-0.320	0.017
YOR216C(RUD3)	YNL064C(YDJ1)	-0.317	0.035
YBL084C(CDC27)	YNL064C(YDJ1)	-0.314	0.010
YPR009W(SUT2)	YNL064C(YDJ1)	-0.313	0.004
YGR092W(DBF2)	YNL064C(YDJ1)	-0.312	0.050
YDL029W(ARP2)	YNL064C(YDJ1)	-0.311	0.027
YBR076W(ECM8)	YNL064C(YDJ1)	-0.311	0.016
YGR274C(TAF1)	YNL064C(YDJ1)	-0.311	0.010
YDR362C(TFC6)	YNL064C(YDJ1)	-0.309	0.007
YPL231W(FAS2)	YNL064C(YDJ1)	-0.306	0.048
YJL125C(GCD14)	YNL064C(YDJ1)	-0.302	0.048
YGR278W(CWC22)	YNL064C(YDJ1)	-0.302	0.047
YGR092W(DBF2)	YNL064C(YDJ1)	-0.301	0.043
YBL084C(CDC27)	YNL064C(YDJ1)	-0.299	0.025
YER112W(LSM4)	YNL064C(YDJ1)	-0.297	0.007
YBR247C(ENP1)	YNL064C(YDJ1)	-0.296	0.041
YHR122W()	YNL064C(YDJ1)	-0.296	0.014
YPL010W(RET3)	YNL064C(YDJ1)	-0.295	0.044
YDR498C(SEC20)	YNL064C(YDJ1)	-0.294	0.039
YPR108W(RPN7)	YNL064C(YDJ1)	-0.292	0.025
YGR099W(TEL2)	YNL064C(YDJ1)	-0.290	0.030
YOR341W(RPA190)	YNL064C(YDJ1)	-0.290	0.034
YNL126W(SPC98)	YNL064C(YDJ1)	-0.289	0.049
YIL128W(MET18)	YNL064C(YDJ1)	-0.288	0.048
YBL074C(AAR2)	YNL064C(YDJ1)	-0.287	0.047
YGR211W(ZPR1)	YNL064C(YDJ1)	-0.287	0.029
YDR288W(NSE3)	YNL064C(YDJ1)	-0.285	0.021
YJL050W(MTR4)	YNL064C(YDJ1)	-0.285	0.044
YDL111C(RRP42)	YNL064C(YDJ1)	-0.284	0.020
YDR168W(CDC37)	YNL064C(YDJ1)	-0.281	0.025
YDR158W(HOM2)	YNL064C(YDJ1)	-0.280	0.044
YOL081W(IRA2)	YNL064C(YDJ1)	-0.277	0.035
YML081C-A(ATP18)	YNL064C(YDJ1)	-0.276	0.034
YBR257W(POP4)	YNL064C(YDJ1)	-0.274	0.026
