Gene1_Name	Gene2_Name	Network	Type	Weight
YMD8	CSE2	IREF-GRID	physical_interaction	0.0038
YMD8	LEA1	IREF-GRID	physical_interaction	0.0057
STI1	SSE1	BIOGRID-SMALL-SCALE-STUDIES	physical_interaction	0.075
STI1	SSE1	IREF-GRID	physical_interaction	0.0063
STI1	SSE1	IREF-SMALL-SCALE-STUDIES	physical_interaction	0.085
STI1	EOS1	IREF-GRID	physical_interaction	0.0068
STI1	CSE2	IREF-GRID	physical_interaction	0.0036
STI1	BEM4	IREF-GRID	physical_interaction	0.011
STI1	HRD1	Krogan-Greenblatt-2006 A	physical_interaction	0.071
STI1	HRD1	Krogan-Greenblatt-2006 B	physical_interaction	0.074
STI1	HRD1	IREF-GRID	physical_interaction	0.011
STI1	HRD1	IREF-MINT	physical_interaction	0.026
STI1	HRD1	Lee-Marcotte-2007 Protein complexes	physical_interaction	0.048
STI1	HRD1	MINT_Physical interactions	physical_interaction	0.19
STI1	YDJ1	IREF-GRID	physical_interaction	0.0061
STI1	YDJ1	IREF-SMALL-SCALE-STUDIES	physical_interaction	0.042
SSE1	SIN3	IntAct_Physical interactions	physical_interaction	0.53
SSE1	SIN3	IntAct_Physical interactions	physical_interaction	0.53
SSE1	AIM44	IntAct_Physical interactions	physical_interaction	0.35
SSE1	DIA2	IntAct_Physical interactions	physical_interaction	0.35
SSE1	ELG1	IntAct_Physical interactions	physical_interaction	0.35
SSE1	HST3	IntAct_Physical interactions	physical_interaction	0.35
SSE1	BRE5	BIOGRID-SMALL-SCALE-STUDIES	physical_interaction	0.0053
SSE1	BRE5	Ossareh-Nazari-Dargemont-2010	physical_interaction	0.04
SSE1	BRE5	IREF-GRID	physical_interaction	0.0012
SSE1	CTF4	IntAct_Physical interactions	physical_interaction	0.35
SSE1	RTG1	IntAct_Physical interactions	physical_interaction	0.35
SSE1	ARL3	IntAct_Physical interactions	physical_interaction	0.35
SSE1	YAR1	IntAct_Physical interactions	physical_interaction	0.35
SSE1	MMS1	IntAct_Physical interactions	physical_interaction	0.35
SSE1	LGE1	IntAct_Physical interactions	physical_interaction	0.35
SSE1	CTF19	IntAct_Physical interactions	physical_interaction	0.35
SSE1	INP53	IntAct_Physical interactions	physical_interaction	0.35
